"Reference","Value","Datasheet","Footprint","Qty","DNP","Digikey PN","JLCPCB PN"
"C1,C9","330n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","C1740"
"C2,C11","100n","~","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","2","","","C49678"
"C3,C10","2.2u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","","",""
"C4,C12","1u","~","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","2","","",""
"HS1,HS2,HS3,HS4","Heatsink","~","","4","","345-1023-ND",""
"J1,J2","Conn_Coaxial_Power","~","matterwaves:BNC_Molex_0731385033","2","","ACX1971-ND",""
"J3,J4,J5,J6","Conn_01x10_Pin","~","Connector_JST:JST_ZH_B10B-ZR_1x10_P1.50mm_Vertical","4","","455-S10B-ZR-ND",""
"U1","L7805","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","497-1443-5-ND",""
"U2","L7905","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","497-12408-ND",""
"U3","L7812","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","497-13138-ND",""
"U4","L7912","http://www.st.com/content/ccc/resource/technical/document/datasheet/c9/16/86/41/c7/2b/45/f2/CD00000450.pdf/files/CD00000450.pdf/jcr:content/translations/en.CD00000450.pdf","Package_TO_SOT_THT:TO-220-3_Vertical","1","","497-1476-5-ND",""
